epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,333.191,1.26952,0.81251,1.20207,0.68107,0.61129,0.61568,0.31135,1.4931,1.86083,1.46726,0.00073025,0.00073025,0.00073025
44,340.575,1.25105,0.80035,1.20011,0.75887,0.63231,0.67187,0.3401,1.52742,1.52642,1.41479,0.000717875,0.000717875,0.000717875
45,348.298,1.20788,0.74886,1.15768,0.63907,0.59439,0.59544,0.30294,1.39428,1.65901,1.37557,0.0007055,0.0007055,0.0007055
46,355.601,1.23086,0.78791,1.17192,0.72947,0.62382,0.62488,0.32636,1.42173,1.50882,1.37115,0.000693125,0.000693125,0.000693125
47,363.3,1.18218,0.75484,1.13816,0.7178,0.63017,0.66975,0.32873,1.44899,2.07601,1.41466,0.00068075,0.00068075,0.00068075
48,370.619,1.19821,0.7463,1.16305,0.67755,0.5948,0.60015,0.32263,1.44485,1.85672,1.40592,0.000668375,0.000668375,0.000668375
49,378.18,1.17356,0.72104,1.16965,0.64046,0.62737,0.63287,0.31546,1.39849,1.79679,1.41617,0.000656,0.000656,0.000656
50,385.542,1.16608,0.72913,1.116,0.72017,0.58097,0.63516,0.32027,1.40397,1.69761,1.38617,0.000643625,0.000643625,0.000643625
51,393.021,1.1604,0.72235,1.12228,0.72942,0.57798,0.64862,0.3172,1.42872,1.51432,1.37966,0.00063125,0.00063125,0.00063125
52,400.501,1.11724,0.71742,1.12601,0.55828,0.67255,0.61295,0.28682,1.45899,2.69153,1.43138,0.000618875,0.000618875,0.000618875
53,407.966,1.11235,0.68561,1.12576,0.60902,0.56418,0.5744,0.2773,1.55562,1.84773,1.47899,0.0006065,0.0006065,0.0006065
54,415.579,1.13885,0.71115,1.14448,0.68407,0.68398,0.66507,0.32822,1.48898,1.74292,1.41871,0.000594125,0.000594125,0.000594125
55,423.363,1.09631,0.71027,1.13007,0.64381,0.63641,0.60945,0.30939,1.44337,1.78354,1.4563,0.00058175,0.00058175,0.00058175
56,430.648,1.12637,0.71778,1.12032,0.76527,0.61473,0.66094,0.30926,1.36,2.34063,1.37943,0.000569375,0.000569375,0.000569375
57,438.187,1.08589,0.65733,1.10149,0.66951,0.68682,0.6674,0.33908,1.46791,1.43422,1.44046,0.000557,0.000557,0.000557
58,445.538,1.08731,0.67765,1.11353,0.65716,0.66372,0.65069,0.34204,1.51418,1.48609,1.41962,0.000544625,0.000544625,0.000544625
59,453.03,1.06161,0.69447,1.10816,0.66082,0.61023,0.63817,0.33981,1.39425,1.69968,1.36169,0.00053225,0.00053225,0.00053225
60,460.578,1.097,0.67755,1.08966,0.66707,0.62204,0.61019,0.30142,1.3866,1.44927,1.37729,0.000519875,0.000519875,0.000519875
61,467.917,1.04358,0.65483,1.07415,0.71863,0.62363,0.64594,0.33164,1.51395,2.28309,1.45132,0.0005075,0.0005075,0.0005075
62,475.338,1.0285,0.62719,1.05654,0.61471,0.72399,0.6836,0.34177,1.31008,1.60795,1.3683,0.000495125,0.000495125,0.000495125
63,483.077,0.98944,0.60373,1.05875,0.7604,0.59954,0.65826,0.34347,1.37692,1.60732,1.38611,0.00048275,0.00048275,0.00048275
64,490.433,1.01517,0.64614,1.05946,0.64702,0.69451,0.67961,0.33056,1.51939,1.77743,1.45437,0.000470375,0.000470375,0.000470375
65,497.939,0.99734,0.59366,1.03598,0.70883,0.67757,0.69422,0.3415,1.66568,1.67019,1.61239,0.000458,0.000458,0.000458
66,505.536,1.04475,0.64149,1.06875,0.72616,0.68206,0.70047,0.34269,1.69297,1.83674,1.69769,0.000445625,0.000445625,0.000445625
67,513.57,0.99692,0.58526,1.04029,0.70511,0.67184,0.65484,0.33685,1.63544,1.98499,1.53483,0.00043325,0.00043325,0.00043325
68,520.927,0.95694,0.57856,1.04921,0.74744,0.66035,0.66408,0.33565,1.42227,1.80369,1.40324,0.000420875,0.000420875,0.000420875
69,528.317,0.96749,0.57904,1.03699,0.70931,0.7128,0.69166,0.35802,1.44445,1.88784,1.46886,0.0004085,0.0004085,0.0004085
70,536.064,0.93168,0.55675,1.0267,0.73866,0.66695,0.68728,0.32115,1.5406,2.08288,1.51811,0.000396125,0.000396125,0.000396125
71,543.502,0.91986,0.55961,1.01673,0.7586,0.60443,0.65153,0.33516,1.39004,1.70649,1.38525,0.00038375,0.00038375,0.00038375
72,550.849,0.87711,0.52747,1.00839,0.74789,0.59039,0.64555,0.32981,1.32207,1.82266,1.37016,0.000371375,0.000371375,0.000371375
73,558.278,0.91304,0.54407,1.01938,0.6866,0.6037,0.61878,0.32379,1.40437,1.87247,1.42441,0.000359,0.000359,0.000359
74,565.549,0.91701,0.55548,1.01447,0.69044,0.65118,0.64871,0.34,1.59199,2.1628,1.56688,0.000346625,0.000346625,0.000346625
75,573.041,0.88295,0.51951,0.99996,0.69305,0.68183,0.68362,0.3317,1.61301,2.37995,1.4839,0.00033425,0.00033425,0.00033425
76,580.341,0.86919,0.50746,0.99212,0.68249,0.65696,0.64914,0.33831,1.30401,1.88075,1.34816,0.000321875,0.000321875,0.000321875
77,587.827,0.84889,0.51439,0.99833,0.71017,0.68258,0.69898,0.36102,1.29678,1.68676,1.36696,0.0003095,0.0003095,0.0003095
78,595.5,0.83743,0.50477,0.9751,0.73923,0.64612,0.68214,0.34806,1.39916,1.74399,1.38746,0.000297125,0.000297125,0.000297125
79,602.983,0.83016,0.51423,0.98704,0.72337,0.66928,0.70164,0.35784,1.52643,1.91048,1.53137,0.00028475,0.00028475,0.00028475
80,610.491,0.82549,0.50329,0.9787,0.74027,0.67615,0.66772,0.35685,1.62332,2.23937,1.62597,0.000272375,0.000272375,0.000272375
81,617.978,0.81664,0.5064,0.9688,0.74463,0.65956,0.67306,0.34915,1.49457,1.96796,1.50227,0.00026,0.00026,0.00026
82,625.285,0.81705,0.50824,0.97476,0.76105,0.64264,0.68038,0.3523,1.46724,1.83662,1.46197,0.000247625,0.000247625,0.000247625
83,632.889,0.82241,0.50239,0.97813,0.76235,0.64623,0.68853,0.35095,1.5906,1.60001,1.44694,0.00023525,0.00023525,0.00023525
84,640.236,0.84341,0.51842,0.9911,0.77608,0.62059,0.71167,0.3709,1.4601,1.93825,1.4408,0.000222875,0.000222875,0.000222875
85,647.979,0.82248,0.52128,0.97571,0.74602,0.63513,0.69449,0.35176,1.56907,2.10603,1.48922,0.0002105,0.0002105,0.0002105
86,655.358,0.79587,0.50162,0.97246,0.70801,0.69167,0.71075,0.35441,1.46854,2.03978,1.48081,0.000198125,0.000198125,0.000198125
87,662.768,0.7978,0.49236,0.9676,0.74112,0.6638,0.72204,0.36475,1.51265,2.25106,1.45055,0.00018575,0.00018575,0.00018575
88,670.171,0.79442,0.4858,0.97171,0.77833,0.66304,0.73235,0.37379,1.45521,2.00119,1.41922,0.000173375,0.000173375,0.000173375
89,677.803,0.76095,0.47487,0.95042,0.76976,0.66426,0.71726,0.3791,1.49306,2.0525,1.44414,0.000161,0.000161,0.000161
90,685.494,0.73829,0.45825,0.95498,0.80113,0.64724,0.72263,0.3826,1.31402,1.9912,1.37092,0.000148625,0.000148625,0.000148625
91,696.616,0.7549,0.42893,0.95162,0.76324,0.64135,0.69282,0.36053,1.40344,1.7741,1.42547,0.00013625,0.00013625,0.00013625
92,704.355,0.72918,0.41758,0.94289,0.81588,0.6342,0.69225,0.36532,1.34588,1.61849,1.41474,0.000123875,0.000123875,0.000123875
93,711.909,0.72691,0.41149,0.94632,0.79893,0.63053,0.70494,0.35891,1.3838,1.91929,1.43625,0.0001115,0.0001115,0.0001115
94,719.287,0.68056,0.39594,0.93009,0.73676,0.65487,0.68873,0.34886,1.39523,2.01377,1.43672,9.9125e-05,9.9125e-05,9.9125e-05
95,726.634,0.68466,0.39703,0.93415,0.72487,0.66832,0.69081,0.34959,1.44521,1.95487,1.46213,8.675e-05,8.675e-05,8.675e-05
96,733.98,0.68691,0.40318,0.93308,0.73874,0.67125,0.69908,0.35239,1.38639,1.95487,1.44345,7.4375e-05,7.4375e-05,7.4375e-05
97,741.35,0.70391,0.40574,0.92999,0.75082,0.66901,0.70156,0.35783,1.33837,1.77363,1.41602,6.2e-05,6.2e-05,6.2e-05
98,748.776,0.66466,0.37884,0.92062,0.75443,0.66472,0.71056,0.36167,1.34948,1.86447,1.43259,4.9625e-05,4.9625e-05,4.9625e-05
99,756.155,0.65681,0.38966,0.91361,0.78039,0.62403,0.70279,0.35733,1.34723,1.91854,1.42852,3.725e-05,3.725e-05,3.725e-05
100,763.493,0.65041,0.37608,0.89677,0.78174,0.62223,0.70149,0.35816,1.37339,1.93766,1.43338,2.4875e-05,2.4875e-05,2.4875e-05
